,prop_id,click_rate,booking_rate
0,4098,0.015625,0.015625
1,8196,0.0,0.0
2,12294,0.05263157894736842,0.05263157894736842
3,16392,0.0,0.0
4,20490,0.0,0.0
5,24588,0.0,0.0
6,28686,0.05,0.0
7,32784,0.125,0.125
8,36882,0.0,0.0
9,40980,0.0625,0.03125
10,45078,0.0,0.0
11,49176,0.0,0.0
12,53274,0.05181347150259067,0.02072538860103627
13,57372,0.0,0.0
14,61470,0.0,0.0
15,65568,0.0,0.0
16,69666,0.0,0.0
17,73764,0.1,0.0
18,77862,0.1,0.0
19,81960,0.16,0.12
20,86058,0.0,0.0
21,90156,0.0,0.0
22,94254,0.010416666666666666,0.010416666666666666
23,98352,0.014814814814814815,0.0
24,102450,0.0,0.0
25,106548,0.2,0.2
26,110646,0.12686567164179105,0.1044776119402985
27,114744,0.0,0.0
28,118842,0.0,0.0
29,122940,0.2,0.2
30,127038,0.0,0.0
31,131136,0.022727272727272728,0.0
32,135234,0.06363636363636363,0.05454545454545454
33,139332,0.0,0.0
34,1,0.01639344262295082,0.0
35,4099,0.02197802197802198,0.02197802197802198
36,8197,0.05612244897959184,0.04591836734693878
37,12295,0.05263157894736842,0.0
38,16393,0.14285714285714285,0.14285714285714285
39,20491,0.0,0.0
40,24589,0.0,0.0
41,28687,0.3333333333333333,0.0
42,32785,0.0,0.0
43,36883,0.027210884353741496,0.02040816326530612
44,40981,0.021739130434782608,0.021739130434782608
45,45079,0.0,0.0
46,49177,0.5,0.0
47,53275,0.0,0.0
48,57373,0.0,0.0
49,61471,0.0,0.0
50,65569,0.01020408163265306,0.0
51,69667,0.0,0.0
52,73765,0.0,0.0
53,81961,0.0,0.0
54,86059,0.0,0.0
55,90157,0.2,0.0
56,94255,0.0,0.0
57,98353,0.0,0.0
58,102451,0.0,0.0
59,106549,0.0,0.0
60,110647,0.0,0.0
61,114745,0.0,0.0
62,118843,0.0,0.0
63,122941,0.0,0.0
64,127039,0.25,0.25
65,131137,0.0,0.0
66,135235,0.0,0.0
67,139333,0.03333333333333333,0.03333333333333333
68,4096,0.07692307692307693,0.038461538461538464
69,2,0.09090909090909091,0.09090909090909091
70,12292,0.0,0.0
71,8198,0.031746031746031744,0.0
72,20488,0.06,0.04
73,16394,0.0,0.0
74,32786,0.0,0.0
75,40982,0.1,0.08333333333333333
76,53272,0.0,0.0
77,49178,0.0,0.0
78,61468,0.0,0.0
79,57374,0.0,0.0
80,69664,0.0,0.0
81,65570,0.0,0.0
82,77860,0.047619047619047616,0.0
83,73766,0.0,0.0
84,86056,0.0,0.0
85,81962,0.0,0.0
86,94252,0.0,0.0
87,90158,0.09090909090909091,0.0
88,102448,0.0,0.0
89,98354,0.0,0.0
90,110644,0.0,0.0
91,106550,0.3333333333333333,0.0
92,118840,0.1,0.06666666666666667
93,114746,0.0,0.0
94,127036,0.0,0.0
95,122942,0.0,0.0
96,135232,0.037037037037037035,0.037037037037037035
97,131138,0.0,0.0
98,139334,0.0,0.0
99,3,0.024390243902439025,0.024390243902439025
100,12293,0.05263157894736842,0.0
101,8199,0.058823529411764705,0.0
102,20489,0.0,0.0
103,16395,0.0,0.0
104,28685,0.011494252873563218,0.005747126436781609
105,24591,0.16666666666666666,0.16666666666666666
106,36881,0.0,0.0
107,32787,0.02120141342756184,0.02120141342756184
108,45077,0.0,0.0
109,40983,0.009259259259259259,0.009259259259259259
